Link,Title,Location,Salary,Summary
https://kr.indeed.com/viewjob?jk=5df34b9a5d61397d,HR Director,Thermo Fisher - APAC 3.5 서울,,retaining the top talent required for short and long-term business success. Responsibilities: Serve as HR Business Partner...
https://kr.indeed.com/viewjob?jk=a6322085c9b20b63,Head of Greenfield,Amazon Web Services Korea LLC 서울,,immediate issues our clients are facing but also... long term business needs... result we’re looking for someone who...
https://kr.indeed.com/viewjob?jk=ed283a91d9c4443a,"Data Center Field Engineer, Seoul",Equinix 서울,,you are looking to join a company that can offer long term career opportunities on a global scale backed by a positive...
https://kr.indeed.com/viewjob?jk=41f04ba8575333b8,Account Manager single count,RELX Group 대한민국,,colleagues to share market dynamics and set short/mid/long term strategics • Make documentation for new and renewal...
https://kr.indeed.com/viewjob?jk=5f5d6f9fab4fda7e,"Sales Manager, Genetic Sciences & Clinical NGS Division (GSD...",Thermo Fisher - APAC 3.5 서울,,team leadership. Take lead to develop creative long-term and short-term sales strategies. Demonstrate strong analytical...
https://kr.indeed.com/viewjob?jk=ee98f947cf065527,KR_HP_Medical_Non Interventional Study S...,Boehringer Ingelheim 4.1 대한민국,,"humans and animals... family owned company, we focus on long term performance. We are powered by 50,000 employees globally..."
https://kr.indeed.com/viewjob?jk=8a400e7dece238a4,[IBM Korea]Security Services - SOC Manag...,IBM 3.9 서울,,"apparent security breaches •Play a significant role in long-term SOC strategy and planning, including initiatives geared..."
https://kr.indeed.com/viewjob?jk=861ea66900d96ce0,Assistant Learning & Development Manager,Four Seasons 서울,,"improvement programs, and initiatives to best achieve long-term business success. Promotes a continuous learning culture..."
https://kr.indeed.com/viewjob?jk=058eb7d73ad284f6,"NSX Account Executive, Korea",Dell 4.0 서울,,"building a community where great people want to work long term by living our values of passion, innovation, execution..."
https://kr.indeed.com/viewjob?jk=054fb77e01bc6521,"Field Sales Manager, Google Cloud",Google 4.3 서울,,"maintain executive relationships with customers, consult long-term strategic direction and act as a trusted advisor. Build..."
https://kr.indeed.com/viewjob?jk=60a00e82c407db49,KR_HP_Respiratory Product Manager,Boehringer Ingelheim 4.1 대한민국,,"Outlook and long-term forecast process... family owned company, we focus on long term performance. We are powered by 50,000..."
https://kr.indeed.com/viewjob?jk=8f185c37a8b48fdb,Head of Commercial FSI,Amazon Web Services Korea LLC 서울,,day interactions with prospects in order to build long-term business opportunity. You’ll also work closely... product...
https://kr.indeed.com/viewjob?jk=9341658258ed7536,ISV Success Manager,Amazon Web Services Korea LLC 서울,,"Sell... GTM activities and create/ maintain a long-term, scalable joint GTM model that drives partner and customer..."
https://kr.indeed.com/viewjob?jk=8bed4c9202b9bef2,Consumer Marketing Manager (OHC),Philips 4.0 서울,,Responsibilities] 1. Manage business Develop long-term and short-term business objective and strategy in line with global...
https://kr.indeed.com/viewjob?jk=659cdf356c29bda6,프로젝트 컨설턴트,휴먼디지털 서울,,"client project. • Direct the execution and delivery of client term sheets, licenses, and projects as needed. • Brainstorm..."
https://kr.indeed.com/viewjob?jk=4468ed23fa18b193,VRM ‏ (vehicle repair and maintenance) S...,Henkel AG 서울,,"target. Manage profitability through pricing, payment term, and product mix. Manage channel by adding, terminating..."
https://kr.indeed.com/viewjob?jk=77b88b8000db701a,CS Marketing_Parts Pricing (Temp),Daimler 서울,,Manage parts price data for OP planning... mid-/long-term business growth. 1-3) Conduct various price researches to get...
https://kr.indeed.com/viewjob?jk=bce1ea3b19df3112,FPSO Construction Manager South Korea -...,Worley 3.9 대한민국,,"you to join us. The transition will take time, so... short-term you may see references to our heritage companies in your..."
https://kr.indeed.com/viewjob?jk=3c4160e9c901f95a,[한국화이자제약] (Sr.) OR/RWD Specialist,Pfizer 4.2 서울,,"strategy Understands Business Units (BUs)’ strategies, long-term Health & Value strategies and collects & provides relevant..."
https://kr.indeed.com/viewjob?jk=a5c2d94ffde08312,e-commerce Sales ‏ (Beauty Care),Henkel AG 서울,,"long & short-term strategies for overall... Contract & Job type: Full Time, Limited Term Contact information for application..."
https://kr.indeed.com/viewjob?jk=0301db576d535190,Enterprise Architect-South Korea,Huntington Ingalls Industries (HII-MDIS) 서울,,long-term strategic and operating plans to ensure... EA objectives are consistent... enterprise’s long-term...
https://kr.indeed.com/viewjob?jk=bd8dfcae7af684e4,Project Director,NextWave Partners 대한민국,,"overall long term objectives - including... review and negotiation of contracts and term sheets, which includes agreements..."
https://kr.indeed.com/viewjob?jk=e83536afec0b70ce,FSE Daegu,bioMerieux 대구,,"choosing to join an innovative company... long term vision, committed... service of public health and carried out..."
https://kr.indeed.com/viewjob?jk=4eaa3cf752e89ec7,Solutions Architect IV - AMAZON Web Serv...,Amazon Web Services Korea LLC 서울,,project programs that can achieve long-term outcomes in a scalable and sustainable... goals and long-term technical objectives...
https://kr.indeed.com/viewjob?jk=7a7191a059f13b29,"Manager, Digital Operations Manager",lululemon athletica 서울,,"love... hands... ability to think strategic/long-term, but also roll-up your sleeves and get s*** done. Most..."
https://kr.indeed.com/viewjob?jk=2a579f3367f703f5,Technical Support Engineer Seoul,IAR Systems 서울,,most important players... market will create long-term customer value... unique market position. Our Culture Equal...
https://kr.indeed.com/viewjob?jk=8e5ba82ba5ed04bc,Head of Sales North Asia,RELX Group 대한민국,,"defining, developing and delivering on short- and long-term commercial strategies to address key market opportunities..."
